,Grade,Males,Females,%M,%F,%of_tot_M,%of_tot_F,Ratio%M:F
0,Band 4,1108,5209,17.5,82.5,2.8210612078623076,3.827839097015035,0.7369853163530784
1,Band 5,7733,25799,23.1,76.9,19.68886852021591,18.958422127834687,1.0385288600209392
2,Band 6,12671,45582,21.8,78.2,32.26143191771056,33.49598036478006,0.9631433851577132
3,Band 7,9907,37535,20.9,79.1,25.22405540279051,27.58263400008818,0.9144904508652026
4,Band 8a,4772,14829,24.3,75.7,12.149913433139831,10.89710615658206,1.1149669699969889
5,Band 8b,1653,4546,26.7,73.3,4.208677054689887,3.340632853720551,1.259844238795225
6,Band 8c,837,1923,30.3,69.7,2.1310724106324472,1.4131185608677121,1.5080634206119847
7,Band 8d,436,537,44.8,55.2,1.1100926774620634,0.3946150115371614,2.813103011813641
8,Band 9,159,122,56.6,43.4,0.4048273754964864,0.08965182757455065,4.515550730517448
9,Total,39276,136082,22.4,77.6,100.0,100.0,1.0
